[1, 3, 5, 7], 15, 3
[1, 3, 5, 7], 18, 4
[2, 4, 6, 8], 15, -1
[ 7 3 2 5 8 ], 14, 2
[ 3 1 1 2 2 1 ], 9, 3
[ 5 3 2 4 1 9 5 1 ], 6, 2
[ 2 6 9 7 1 1 3 4 1 10 ], 30, 3
[ 2 4 5 7 1 9 1 3 ], 12, 2
[ 7 9 2 4 1 5 1 3 ], 31, 4
[ 7 9 3 2 4 1 5 1 ], 22, 3
[ 2 7 9 3 4 1 5 1 ], 9, 1
[ 8 2 3 8 7 5 1 ], 26, 4
[ 3 1 2 5 1 ], 4, 2
[ 1 2 3 2 ], 3, 1
[ 4 3 6 2 2 3 ], 5, 2
[ 9 7 8 7 8 3 10 ], 10, 1
[ 4 2 4 3 5 1 1 ], 13, 3
[ 1 2 1 2 2 3 3 ], 12, 4
[ 2 4 2 1 2 1 ], 2, 1
[ 2 2 2 2 2 2 8 7 5 3 1 ], 33, 5
[ 4 5 4 7 1 2 1 6 1 5 ], 14, 2
[ 4 1 7 6 1 3 ], 8, 2
[ 3 1 3 1 ], 1, 1
[ 1 2 6 4 1 ], 12, 2
[ 5 3 3 1 2 1 4 1 4 ], 7, 2
[ 3 3 1 5 1 4 2 1 4 ], 22, 5
[ 2 1 10 8 2 2 1 6 6 4 ], 30, 3
[ 7 3 2 4 8 5 6 3 2 ], 2, 1
[ 5 1 1 8 1 2 6 5 7 ], 11, 2
[ 2 1 7 1 3 2 ], 1, 1
[ 3 2 3 9 1 8 6 5 3 4 2 ], 3, 1
[ 7 4 2 3 4 3 1 3 1 ], 26, 5
[ 3 2 8 5 4 6 ], 12, 2
[ 4 3 1 2 4 6 ], 6, 1
[ 5 5 1 2 1 6 4 ], 7, 2
[ 2 4 1 3 ], 2, 1
[ 2 3 2 1 4 ], 3, 1
[ 8 7 9 10 3 7 ], 23, 3
[ 2 4 9 5 1 5 1 3 ], 1, 1
[ 9 5 1 3 2 7 4 1 ], 21, 3
[ 3 4 1 10 2 6 1 9 7 1 ], 9, 1
[ 8 2 3 7 5 1 ], 23, 3
[ 2 7 4 9 5 1 3 1 ], 22, 3
[ 7 9 1 3 2 4 1 5 ], 12, 2
[ 2 4 5 1 3 7 1 9 ], 22, 3
[ 2 4 5 1 7 1 9 3 ], 26, 4
[ 4 5 1 2 7 1 9 3 ], 9, 1
[ 8 7 5 1 8 2 3 ], 10, 2
[ 5 3 1 2 1 ], 7, 2
[ 6 3 2 4 1 ], 15, 3
[ 2 1 2 3 ], 7, 3
[ 2 3 5 1 4 1 ], 1, 1
[ 4 1 7 2 3 1 ], 8, 2
[ 3 1 2 1 1 ], 6, 2
[ 6 2 2 3 4 3 ], 6, 1
[ 3 5 1 4 2 1 4 ], 17, 4
[ 1 2 7 3 1 ], 8, 2
[ 2 3 3 1 2 1 2 ], 8, 3
[ 4 2 2 1 1 2 ], 5, 2
[ 7 4 2 5 9 7 2 4 1 1 ], 22, 3
[ 5 3 1 1 3 4 2 1 ], 9, 2
[ 3 4 2 1 5 3 1 1 ], 2, 1
[ 2 6 9 7 3 1 4 1 10 1 ], 15, 2
[ 8 7 5 3 1 2 2 2 2 2 2 ], 3, 1
[ 5 1 1 2 5 ], 4, 2
[ 3 4 3 1 2 1 7 4 2 1 ], 8, 2
[ 1 4 3 1 2 1 7 4 2 1 ], 8, 2
[ 1 2 2 4 3 ], 11, 3
[ 5 5 1 1 2 ], 3, 2
[ 7 4 2 1 3 4 3 1 2 1 ], 10, 2
[ 7 4 2 1 1 4 3 1 2 1 ], 15, 3
[ 3 1 2 2 4 ], 10, 3
[ 5 6 10 3 2 ], 18, 3
[ 10 3 2 5 6 ], 19, 3
[ 2 1 2 4 1 8 ], 12, 2
[ 6 5 10 4 8 1 8 ], 16, 2
[ 4 8 8 6 5 10 1 ], 28, 3
[ 7 2 6 5 1 4 5 1 4 1 ], 16, 3
[ 6 1 3 4 1 7 ], 8, 2
[ 6 4 1 1 2 ], 5, 2
[ 2 4 1 6 3 ], 9, 2
[ 2 1 4 1 4 5 3 3 1 ], 6, 2
[ 1 4 2 1 4 3 3 1 5 ], 22, 5
[ 2 2 1 6 6 4 2 1 10 8 ], 8, 1
[ 8 5 6 3 2 7 3 2 4 ], 17, 3
[ 2 6 5 7 5 1 1 1 8 ], 13, 2
[ 3 2 2 1 7 1 ], 1, 1
[ 2 3 5 1 1 1 1 ], 13, 3
[ 6 5 3 4 2 3 2 3 9 1 8 ], 41, 5
[ 1 2 1 2 ], 4, 2
[ 1 6 3 4 5 1 1 1 ], 2, 2
[ 1 2 3 1 1 1 1 ], 2, 1
[ 1 2 3 1 1 ], 5, 2
[ 6 2 3 4 3 ], 11, 3
[ 6 2 1 5 4 ], 7, 2
[ 3 4 3 1 3 1 7 4 2 ], 23, 4
[ 7 5 1 8 2 3 ], 16, 2
[ 2 1 6 5 8 7 5 1 1 ], 9, 2
[ 2 4 6 4 3 1 ], 14, 3
[ 5 1 2 1 6 4 5 ], 23, 4
[ 3 2 4 1 ], 5, 2
[ 1 4 2 3 2 ], 11, 3
