[1, 3, 5, 7], 8, 6
[1, 2, 3], 4, 4
[ 1 3 5 7 ], 15, 19
[ 1 3 5 7 ], 18, 27
[ 2 4 6 8 ], 15, 0
[ 7 3 2 5 8 ], 14, 11
[3, 1, 1, 2, 2, 1], 9, 342
[ 1 3 5 7 ], 8, 6
[ 1 2 3 ], 4, 4
[ 1 3 5 7 ], 15, 19
[ 1 3 5 7 ], 18, 27
[ 2 4 6 8 ], 15, 0
[ 7 3 2 5 8 ], 14, 11
[ 3 1 1 2 2 1 ], 9, 342
[ 5 3 2 4 1 9 5 1 ], 6, 31
[ 2 6 9 7 1 1 3 4 1 10 ], 30, 59360
[ 2 4 5 7 1 9 1 3 ], 12, 223
[ 7 9 2 4 1 5 1 3 ], 31, 11413
[ 7 9 3 2 4 1 5 1 ], 22, 2366
[ 2 7 9 3 4 1 5 1 ], 9, 88
[ 8 2 3 8 7 5 1 ], 26, 562
[ 3 1 2 5 1 ], 4, 11
[ 1 2 3 2 ], 3, 4
[ 4 3 6 2 2 3 ], 5, 4
[ 9 7 8 7 8 3 10 ], 10, 3
[ 4 2 4 3 5 1 1 ], 13, 358
[ 1 2 1 2 2 3 3 ], 12, 811
[ 2 4 2 1 2 1 ], 2, 6
[ 2 2 2 2 2 2 8 7 5 3 1 ], 33, 468778
[ 4 5 4 7 1 2 1 6 1 5 ], 14, 1637
[ 4 1 7 6 1 3 ], 8, 31
[ 3 1 3 1 ], 1, 2
[ 1 2 6 4 1 ], 12, 105
[ 5 3 3 1 2 1 4 1 4 ], 7, 160
[ 3 3 1 5 1 4 2 1 4 ], 22, 25907
[ 2 1 10 8 2 2 1 6 6 4 ], 30, 50810
[ 7 3 2 4 8 5 6 3 2 ], 2, 2
[ 5 1 1 8 1 2 6 5 7 ], 11, 383
[ 2 1 7 1 3 2 ], 1, 2
[ 3 2 3 9 1 8 6 5 3 4 2 ], 3, 6
[ 7 4 2 3 4 3 1 3 1 ], 26, 22621
[ 3 2 8 5 4 6 ], 12, 16
[ 4 3 1 2 4 6 ], 6, 12
[ 5 5 1 2 1 6 4 ], 7, 36
[ 2 4 1 3 ], 2, 2
[ 2 3 2 1 4 ], 3, 4
[ 8 7 9 10 3 7 ], 23, 13
[ 2 4 9 5 1 5 1 3 ], 1, 2
[ 9 5 1 3 2 7 4 1 ], 21, 1936
[ 3 4 1 10 2 6 1 9 7 1 ], 9, 255
[ 8 2 3 7 5 1 ], 23, 271
[ 2 7 4 9 5 1 3 1 ], 22, 2366
[ 7 9 1 3 2 4 1 5 ], 12, 223
[ 2 4 5 1 3 7 1 9 ], 22, 2366
[ 2 4 5 1 7 1 9 3 ], 26, 4988
[ 4 5 1 2 7 1 9 3 ], 9, 88
[ 8 7 5 1 8 2 3 ], 10, 27
[ 5 3 1 2 1 ], 7, 35
[ 6 3 2 4 1 ], 15, 75
[ 2 1 2 3 ], 7, 17
[ 2 3 5 1 4 1 ], 1, 2
[ 4 1 7 2 3 1 ], 8, 55
[ 3 1 2 1 1 ], 6, 64
[ 6 2 2 3 4 3 ], 6, 10
[ 3 5 1 4 2 1 4 ], 17, 986
[ 1 2 7 3 1 ], 8, 43
[ 2 3 3 1 2 1 2 ], 8, 183
[ 4 2 2 1 1 2 ], 5, 32
[ 7 4 2 5 9 7 2 4 1 1 ], 22, 6373
[ 5 3 1 1 3 4 2 1 ], 9, 348
[ 3 4 2 1 5 3 1 1 ], 2, 7
[ 2 6 9 7 3 1 4 1 10 1 ], 15, 1868
[ 8 7 5 3 1 2 2 2 2 2 2 ], 3, 8
[ 5 1 1 2 5 ], 4, 9
[ 3 4 3 1 2 1 7 4 2 1 ], 8, 377
[ 1 4 3 1 2 1 7 4 2 1 ], 8, 734
[ 1 2 2 4 3 ], 11, 66
[ 5 5 1 1 2 ], 3, 6
[ 7 4 2 1 3 4 3 1 2 1 ], 10, 950
[ 7 4 2 1 1 4 3 1 2 1 ], 15, 14251
[ 3 1 2 2 4 ], 10, 55
[ 5 6 10 3 2 ], 18, 21
[ 10 3 2 5 6 ], 19, 20
[ 2 1 2 4 1 8 ], 12, 225
[ 6 5 10 4 8 1 8 ], 16, 36
[ 4 8 8 6 5 10 1 ], 28, 215
[ 7 2 6 5 1 4 5 1 4 1 ], 16, 3034
[ 6 1 3 4 1 7 ], 8, 31
[ 6 4 1 1 2 ], 5, 14
[ 2 4 1 6 3 ], 9, 21
[ 2 1 4 1 4 5 3 3 1 ], 6, 96
[ 1 4 2 1 4 3 3 1 5 ], 22, 25907
[ 2 2 1 6 6 4 2 1 10 8 ], 8, 139
[ 8 5 6 3 2 7 3 2 4 ], 17, 236
[ 2 6 5 7 5 1 1 1 8 ], 13, 717
[ 3 2 2 1 7 1 ], 1, 2
[ 2 3 5 1 1 1 1 ], 13, 2586
[ 6 5 3 4 2 3 2 3 9 1 8 ], 41, 266240
[ 1 2 1 2 ], 4, 14
[ 1 6 3 4 5 1 1 1 ], 2, 10
