{ 256, 0 }
{ 64, 0 }
{ 16, 0 }
{ 4, 0 }
{ 0, 0 }
{ 17, 0 }
{ 67, 1 }
{ -7606, 1 }
{ 3783, 1 }
{ 9994, 1 }
{ -571, 1 }
{ 2339, 1 }
{ 4437, 0 }
{ -3929, 1 }
{ -4129, 1 }
{ -4426, 1 }
{ 2193, 0 }
{ 2955, 1 }
{ -6281, 1 }
{ 1813, 1 }
{ 3989, 1 }
{ 6567, 1 }
{ -5695, 1 }
{ 1352, 0 }
{ 3728, 1 }
{ 739, 1 }
{ 3070, 1 }
{ -1869, 1 }
{ -9614, 1 }
{ 7002, 1 }
{ -2515, 1 }
{ 2476, 1 }
{ -9713, 1 }
{ 6195, 1 }
{ 6985, 1 }
{ 3670, 1 }
{ 9007, 1 }
{ 4848, 1 }
{ -605, 1 }
{ 8529, 0 }
{ -8559, 1 }
{ 8825, 1 }
{ 630, 1 }
{ -1794, 1 }
{ 7448, 1 }
{ 841, 1 }
{ -1871, 1 }
{ 3444, 1 }
{ -5536, 1 }
{ 2172, 1 }
{ -7351, 1 }
{ -2430, 1 }
{ 9257, 0 }
{ 7081, 1 }
{ 6572, 1 }
{ 525, 1 }
{ -5178, 1 }
{ 9056, 1 }
{ 2391, 1 }
{ -5498, 1 }
{ -3539, 1 }
{ -8993, 1 }
{ 1305, 1 }
{ 9537, 0 }
{ -3099, 1 }
{ 12, 1 }
{ -2654, 1 }
{ -997, 1 }
{ 233, 1 }
{ -649, 1 }
{ -3009, 1 }
{ -8694, 1 }
{ 2464, 1 }
{ 9486, 1 }
{ -8842, 1 }
{ 5417, 0 }
{ -6055, 1 }
{ -1331, 1 }
{ 8315, 1 }
{ 5938, 1 }
{ -599, 1 }
{ -4349, 1 }
{ 9368, 1 }
{ 4088, 1 }
{ -9303, 1 }
{ -5495, 1 }
{ -8314, 1 }
{ 2566, 1 }
{ -6746, 1 }
{ -9516, 1 }
{ -5161, 1 }
{ -5505, 1 }
{ -2369, 1 }
{ -1077, 1 }
{ 1456, 1 }
{ -1390, 1 }
{ 3016, 1 }
{ 7701, 1 }
{ -5456, 1 }
{ 3149, 1 }
{ -5708, 1 }
{ -1994, 1 }
{ -4907, 1 }
{ -8159, 1 }
{ 4653, 1 }
{ -7106, 1 }
{ -2377, 1 }
{ -4287, 1 }
{ 7973, 1 }
{ -4888, 1 }
{ -5753, 1 }
{ -5334, 1 }
{ 9130, 1 }
{ 7101, 1 }
{ -803, 1 }
{ -9825, 1 }
{ -8361, 1 }
{ 3417, 1 }
{ -9981, 1 }
{ -3956, 1 }
{ 7817, 1 }
{ 9943, 1 }
{ -418, 1 }
{ 5975, 1 }
{ -1394, 1 }
{ 4511, 1 }
{ -9603, 1 }
{ -2343, 1 }
{ 6279, 1 }
{ 3257, 1 }
{ 1976, 1 }
{ 953, 1 }
{ 5720, 1 }
{ 5632, 1 }
{ -1645, 1 }
{ 7046, 1 }
{ -6690, 1 }
{ 8280, 1 }
{ -2122, 1 }
{ -1480, 1 }
{ -4209, 1 }
{ 6468, 1 }
{ -1606, 1 }
{ -7314, 1 }
{ 6664, 1 }
{ -8285, 1 }
{ -9810, 1 }
{ -6188, 1 }
{ -3726, 1 }
{ 6868, 1 }
{ -9627, 1 }
{ -579, 1 }
{ -7995, 1 }
{ 1798, 1 }
{ -5149, 1 }
{ 7737, 1 }
{ 407, 1 }
{ 7286, 1 }
{ 1001, 1 }
{ 9300, 0 }
{ -4914, 1 }
{ -8640, 1 }
{ 134, 1 }
{ 601, 1 }
{ 3898, 1 }
{ 5757, 1 }
{ 4547, 1 }
{ 3139, 1 }
{ 4308, 1 }
{ -4292, 1 }
{ -4960, 1 }
{ 9230, 1 }
{ -5653, 1 }
{ 8659, 1 }
{ 9241, 1 }
{ 8374, 1 }
{ 9716, 1 }
{ 7691, 1 }
{ -7726, 1 }
{ 259, 1 }
{ -8730, 1 }
{ 6169, 1 }
{ -2363, 1 }
{ -7772, 1 }
{ -6542, 1 }
{ 1612, 1 }
{ -787, 1 }
{ 6527, 1 }
{ -3336, 1 }
