{ -1, 32 }
{ 16, 1 }
{ 4224, 2 }
{ 2022, 8 }
{ 9290, 5 }
{ 6634, 8 }
{ 3911, 8 }
{ 6438, 6 }
{ 6419, 6 }
{ 1542, 4 }
{ 1900, 7 }
{ 4297, 5 }
{ 7362, 6 }
{ 717, 6 }
{ 8602, 6 }
{ 1232, 4 }
{ 7406, 9 }
{ 8541, 7 }
{ 4773, 6 }
{ 472, 5 }
{ 4547, 6 }
{ 9913, 8 }
{ 3473, 6 }
{ 1315, 5 }
{ 3656, 5 }
{ 9994, 6 }
{ 6363, 8 }
{ 50, 3 }
{ 8182, 11 }
{ 3497, 7 }
{ 3500, 7 }
{ 3721, 6 }
{ 4459, 7 }
{ 6441, 6 }
{ 9539, 6 }
{ 8734, 6 }
{ 8665, 7 }
{ 3068, 9 }
{ 5511, 7 }
{ 7576, 7 }
{ 6956, 7 }
{ 2841, 6 }
{ 5806, 8 }
{ 1052, 4 }
{ 4735, 9 }
{ 5171, 6 }
{ 9783, 8 }
{ 4839, 8 }
{ 295, 5 }
{ 7649, 8 }
{ 1130, 5 }
{ 1031, 4 }
{ 8315, 7 }
{ 3647, 9 }
{ 9305, 6 }
{ 797, 6 }
{ 9176, 7 }
{ 5622, 9 }
{ 3545, 8 }
{ 7968, 6 }
{ 7606, 9 }
{ 4339, 7 }
{ 7826, 7 }
{ 5354, 7 }
{ 3638, 7 }
{ 5406, 7 }
{ 5463, 8 }
{ 5324, 6 }
{ 9576, 6 }
{ 7203, 6 }
{ 7051, 8 }
{ 6405, 5 }
{ 4227, 4 }
{ 9400, 6 }
{ 2177, 3 }
{ 995, 7 }
{ 7311, 8 }
{ 668, 5 }
{ 4274, 5 }
{ 9676, 7 }
{ 3537, 7 }
{ 7671, 11 }
{ 4166, 4 }
{ 3937, 7 }
{ 7973, 8 }
{ 2900, 6 }
{ 4872, 4 }
{ 7185, 5 }
{ 9418, 6 }
{ 8446, 8 }
{ 7130, 9 }
{ 4706, 5 }
{ 6910, 10 }
