{ 20, "00000000000000000000000000010100" }
{ 64, "00000000000000000000000001000000" }
{ 127, "00000000000000000000000001111111" }
{ -1, "11111111111111111111111111111111" }
{ -163, "11111111111111111111111101011101" }
{ 8022, "00000000000000000001111101010110" }
{ 4957, "00000000000000000001001101011101" }
{ -54, "11111111111111111111111111001010" }
{ 1276, "00000000000000000000010011111100" }
{ -7226, "11111111111111111110001111000110" }
{ 8255, "00000000000000000010000000111111" }
{ -1413, "11111111111111111111101001111011" }
{ 7215, "00000000000000000001110000101111" }
{ -4693, "11111111111111111110110110101011" }
{ -197, "11111111111111111111111100111011" }
{ 91, "00000000000000000000000001011011" }
{ 1028, "00000000000000000000010000000100" }
{ -790, "11111111111111111111110011101010" }
{ -4151, "11111111111111111110111111001001" }
{ 9564, "00000000000000000010010101011100" }
{ 514, "00000000000000000000001000000010" }
{ 7325, "00000000000000000001110010011101" }
{ 4091, "00000000000000000000111111111011" }
{ 7035, "00000000000000000001101101111011" }
{ 5435, "00000000000000000001010100111011" }
{ 8871, "00000000000000000010001010100111" }
{ -3270, "11111111111111111111001100111010" }
{ 7395, "00000000000000000001110011100011" }
{ 5690, "00000000000000000001011000111010" }
{ -5305, "11111111111111111110101101000111" }
{ 4538, "00000000000000000001000110111010" }
{ -7659, "11111111111111111110001000010101" }
{ -7457, "11111111111111111110001011011111" }
{ 645, "00000000000000000000001010000101" }
{ -7168, "11111111111111111110010000000000" }
{ -8890, "11111111111111111101110101000110" }
{ 5660, "00000000000000000001011000011100" }
{ 483, "00000000000000000000000111100011" }
{ 6837, "00000000000000000001101010110101" }
{ -8910, "11111111111111111101110100110010" }
{ -6936, "11111111111111111110010011101000" }
{ -7248, "11111111111111111110001110110000" }
{ 7329, "00000000000000000001110010100001" }
{ 9096, "00000000000000000010001110001000" }
{ -7971, "11111111111111111110000011011101" }
{ -4885, "11111111111111111110110011101011" }
{ 1992, "00000000000000000000011111001000" }
{ 2400, "00000000000000000000100101100000" }
{ 6649, "00000000000000000001100111111001" }
{ 3381, "00000000000000000000110100110101" }
{ 6893, "00000000000000000001101011101101" }
{ -3571, "11111111111111111111001000001101" }
{ 402, "00000000000000000000000110010010" }
{ -6919, "11111111111111111110010011111001" }
{ 6922, "00000000000000000001101100001010" }
{ 1856, "00000000000000000000011101000000" }
{ -9714, "11111111111111111101101000001110" }
{ 5792, "00000000000000000001011010100000" }
{ 4646, "00000000000000000001001000100110" }
{ 2868, "00000000000000000000101100110100" }
{ 4783, "00000000000000000001001010101111" }
{ -6785, "11111111111111111110010101111111" }
{ 8925, "00000000000000000010001011011101" }
{ -9029, "11111111111111111101110010111011" }
{ 329, "00000000000000000000000101001001" }
{ 1447, "00000000000000000000010110100111" }
{ -6680, "11111111111111111110010111101000" }
{ 7434, "00000000000000000001110100001010" }
{ 9798, "00000000000000000010011001000110" }
{ 7611, "00000000000000000001110110111011" }
{ 8191, "00000000000000000001111111111111" }
{ 8598, "00000000000000000010000110010110" }
{ 7353, "00000000000000000001110010111001" }
{ 1817, "00000000000000000000011100011001" }
{ -8332, "11111111111111111101111101110100" }
{ 3329, "00000000000000000000110100000001" }
{ -2696, "11111111111111111111010101111000" }
{ 2762, "00000000000000000000101011001010" }
{ -5819, "11111111111111111110100101000101" }
{ 7056, "00000000000000000001101110010000" }
{ 5193, "00000000000000000001010001001001" }
{ 987, "00000000000000000000001111011011" }
{ 2235, "00000000000000000000100010111011" }
{ -6920, "11111111111111111110010011111000" }
{ 43, "00000000000000000000000000101011" }
{ -119, "11111111111111111111111110001001" }
{ 356, "00000000000000000000000101100100" }
{ -3636, "11111111111111111111000111001100" }
{ 6890, "00000000000000000001101011101010" }
{ 5476, "00000000000000000001010101100100" }
{ -4067, "11111111111111111111000000011101" }
{ -3435, "11111111111111111111001010010101" }
{ -9437, "11111111111111111101101100100011" }
{ 2317, "00000000000000000000100100001101" }
{ 8714, "00000000000000000010001000001010" }
{ 3171, "00000000000000000000110001100011" }
{ -5629, "11111111111111111110101000000011" }
{ 7070, "00000000000000000001101110011110" }
{ -7230, "11111111111111111110001111000010" }
{ -509, "11111111111111111111111000000011" }
{ -6803, "11111111111111111110010101101101" }
{ 1761, "00000000000000000000011011100001" }
{ 7751, "00000000000000000001111001000111" }
{ 486, "00000000000000000000000111100110" }
{ 7296, "00000000000000000001110010000000" }
{ -9836, "11111111111111111101100110010100" }
{ -4441, "11111111111111111110111010100111" }
{ 9017, "00000000000000000010001100111001" }
{ -5581, "11111111111111111110101000110011" }
{ -7560, "11111111111111111110001001111000" }
{ -1023, "11111111111111111111110000000001" }
{ -178, "11111111111111111111111101001110" }
{ -9623, "11111111111111111101101001101001" }
{ 4222, "00000000000000000001000001111110" }
{ 3715, "00000000000000000000111010000011" }
{ -951, "11111111111111111111110001001001" }
{ -5020, "11111111111111111110110001100100" }
{ 5135, "00000000000000000001010000001111" }
{ -9135, "11111111111111111101110001010001" }
{ 8862, "00000000000000000010001010011110" }
{ 1961, "00000000000000000000011110101001" }
{ -8600, "11111111111111111101111001101000" }
{ 6396, "00000000000000000001100011111100" }
{ 4485, "00000000000000000001000110000101" }
{ -4279, "11111111111111111110111101001001" }
{ 5656, "00000000000000000001011000011000" }
{ -2061, "11111111111111111111011111110011" }
{ 3578, "00000000000000000000110111111010" }
{ -6370, "11111111111111111110011100011110" }
{ 6017, "00000000000000000001011110000001" }
{ -5295, "11111111111111111110101101010001" }
{ -8219, "11111111111111111101111111100101" }
{ 2095, "00000000000000000000100000101111" }
{ 4731, "00000000000000000001001001111011" }
{ -6687, "11111111111111111110010111100001" }
{ 1647, "00000000000000000000011001101111" }
{ -802, "11111111111111111111110011011110" }
{ -5925, "11111111111111111110100011011011" }
{ -2036, "11111111111111111111100000001100" }
{ 8189, "00000000000000000001111111111101" }
{ -559, "11111111111111111111110111010001" }
{ -1496, "11111111111111111111101000101000" }
{ 5928, "00000000000000000001011100101000" }
{ -1708, "11111111111111111111100101010100" }
{ -8651, "11111111111111111101111000110101" }
{ 7696, "00000000000000000001111000010000" }
{ -444, "11111111111111111111111001000100" }
{ 5837, "00000000000000000001011011001101" }
{ -3761, "11111111111111111111000101001111" }
{ 823, "00000000000000000000001100110111" }
{ -3157, "11111111111111111111001110101011" }
{ -7386, "11111111111111111110001100100110" }
{ 5264, "00000000000000000001010010010000" }
{ -1540, "11111111111111111111100111111100" }
{ 7837, "00000000000000000001111010011101" }
{ -1982, "11111111111111111111100001000010" }
{ 1724, "00000000000000000000011010111100" }
{ 5972, "00000000000000000001011101010100" }
{ -1715, "11111111111111111111100101001101" }
{ 3784, "00000000000000000000111011001000" }
{ -839, "11111111111111111111110010111001" }
{ 2798, "00000000000000000000101011101110" }
{ -4065, "11111111111111111111000000011111" }
{ -3347, "11111111111111111111001011101101" }
{ -5858, "11111111111111111110100100011110" }
{ -9188, "11111111111111111101110000011100" }
{ -1916, "11111111111111111111100010000100" }
{ 2850, "00000000000000000000101100100010" }
{ -9368, "11111111111111111101101101101000" }
{ 6253, "00000000000000000001100001101101" }
{ -3758, "11111111111111111111000101010010" }
{ -2649, "11111111111111111111010110100111" }
{ 2677, "00000000000000000000101001110101" }
{ 3452, "00000000000000000000110101111100" }
{ -6647, "11111111111111111110011000001001" }
{ -3872, "11111111111111111111000011100000" }
{ 9799, "00000000000000000010011001000111" }
{ -2731, "11111111111111111111010101010101" }
{ 6493, "00000000000000000001100101011101" }
{ -9898, "11111111111111111101100101010110" }
{ -794, "11111111111111111111110011100110" }
{ 9667, "00000000000000000010010111000011" }
{ 6791, "00000000000000000001101010000111" }
{ -7073, "11111111111111111110010001011111" }
{ 5368, "00000000000000000001010011111000" }
{ 7455, "00000000000000000001110100011111" }
{ 5845, "00000000000000000001011011010101" }
{ 1146, "00000000000000000000010001111010" }
{ -5635, "11111111111111111110100111111101" }
{ -3892, "11111111111111111111000011001100" }
{ -4310, "11111111111111111110111100101010" }
{ 3156, "00000000000000000000110001010100" }
{ -1420, "11111111111111111111101001110100" }
{ -9362, "11111111111111111101101101101110" }
{ 2194, "00000000000000000000100010010010" }
{ 1871, "00000000000000000000011101001111" }
{ -2057, "11111111111111111111011111110111" }
{ -9279, "11111111111111111101101111000001" }
{ -8187, "11111111111111111110000000000101" }
{ 6127, "00000000000000000001011111101111" }
{ 525, "00000000000000000000001000001101" }
{ 4145, "00000000000000000001000000110001" }
{ 9265, "00000000000000000010010000110001" }
{ 2240, "00000000000000000000100011000000" }
{ -7112, "11111111111111111110010000111000" }
{ -3822, "11111111111111111111000100010010" }
{ -1509, "11111111111111111111101000011011" }
{ -5587, "11111111111111111110101000101101" }
{ 2225, "00000000000000000000100010110001" }
{ -3608, "11111111111111111111000111101000" }
{ -785, "11111111111111111111110011101111" }
{ -3785, "11111111111111111111000100110111" }
{ 7208, "00000000000000000001110000101000" }
{ -6979, "11111111111111111110010010111101" }
{ 9129, "00000000000000000010001110101001" }
{ -4128, "11111111111111111110111111100000" }
{ -6527, "11111111111111111110011010000001" }
{ -9953, "11111111111111111101100100011111" }
{ 5839, "00000000000000000001011011001111" }
{ -6203, "11111111111111111110011111000101" }
{ 913, "00000000000000000000001110010001" }
{ -8355, "11111111111111111101111101011101" }
{ -9499, "11111111111111111101101011100101" }
{ -8903, "11111111111111111101110100111001" }
{ 3286, "00000000000000000000110011010110" }
{ 7447, "00000000000000000001110100010111" }
{ -4601, "11111111111111111110111000000111" }
{ -4100, "11111111111111111110111111111100" }
{ 6434, "00000000000000000001100100100010" }
{ 1602, "00000000000000000000011001000010" }
{ -4591, "11111111111111111110111000010001" }
{ -2818, "11111111111111111111010011111110" }
{ 3984, "00000000000000000000111110010000" }
{ 1696, "00000000000000000000011010100000" }
{ 9356, "00000000000000000010010010001100" }
{ 8716, "00000000000000000010001000001100" }
{ -1870, "11111111111111111111100010110010" }
{ 7133, "00000000000000000001101111011101" }
{ 5346, "00000000000000000001010011100010" }
{ 9472, "00000000000000000010010100000000" }
{ -3638, "11111111111111111111000111001010" }
{ 5920, "00000000000000000001011100100000" }
{ -1987, "11111111111111111111100000111101" }
{ -553, "11111111111111111111110111010111" }
{ 2808, "00000000000000000000101011111000" }
{ 6900, "00000000000000000001101011110100" }
{ -2663, "11111111111111111111010110011001" }
{ -6824, "11111111111111111110010101011000" }
{ 8106, "00000000000000000001111110101010" }
{ -9406, "11111111111111111101101101000010" }
{ -2273, "11111111111111111111011100011111" }
{ -3353, "11111111111111111111001011100111" }
{ 2638, "00000000000000000000101001001110" }
{ 3356, "00000000000000000000110100011100" }
{ -4216, "11111111111111111110111110001000" }
{ -6440, "11111111111111111110011011011000" }
{ 7663, "00000000000000000001110111101111" }
{ -1009, "11111111111111111111110000001111" }
{ -3557, "11111111111111111111001000011011" }
{ -6331, "11111111111111111110011101000101" }
{ -2357, "11111111111111111111011011001011" }
{ -1594, "11111111111111111111100111000110" }
{ -1428, "11111111111111111111101001101100" }
{ 50, "00000000000000000000000000110010" }
{ 5573, "00000000000000000001010111000101" }
{ 4324, "00000000000000000001000011100100" }
{ -1945, "11111111111111111111100001100111" }
{ 8989, "00000000000000000010001100011101" }
{ -7547, "11111111111111111110001010000101" }
{ 6031, "00000000000000000001011110001111" }
{ -6989, "11111111111111111110010010110011" }
{ 4090, "00000000000000000000111111111010" }
{ -5836, "11111111111111111110100100110100" }
{ 8945, "00000000000000000010001011110001" }
{ 3902, "00000000000000000000111100111110" }
{ -6794, "11111111111111111110010101110110" }
{ 2372, "00000000000000000000100101000100" }
{ 5605, "00000000000000000001010111100101" }
{ -6696, "11111111111111111110010111011000" }
{ -3805, "11111111111111111111000100100011" }
{ 8983, "00000000000000000010001100010111" }
{ 7222, "00000000000000000001110000110110" }
{ 3042, "00000000000000000000101111100010" }
{ 4653, "00000000000000000001001000101101" }
{ -5523, "11111111111111111110101001101101" }
{ -188, "11111111111111111111111101000100" }
{ -1762, "11111111111111111111100100011110" }
{ -7445, "11111111111111111110001011101011" }
{ -7038, "11111111111111111110010010000010" }
{ 2629, "00000000000000000000101001000101" }
{ -5414, "11111111111111111110101011011010" }
{ -8121, "11111111111111111110000001000111" }
{ 7036, "00000000000000000001101101111100" }
{ -5143, "11111111111111111110101111101001" }
{ 2876, "00000000000000000000101100111100" }
{ 8065, "00000000000000000001111110000001" }
{ -5032, "11111111111111111110110001011000" }
{ -1201, "11111111111111111111101101001111" }
{ -746, "11111111111111111111110100010110" }
{ 7779, "00000000000000000001111001100011" }
{ -1129, "11111111111111111111101110010111" }
{ -5098, "11111111111111111110110000010110" }
{ -7172, "11111111111111111110001111111100" }
{ -8256, "11111111111111111101111111000000" }
{ -1674, "11111111111111111111100101110110" }
{ 2329, "00000000000000000000100100011001" }
{ -6562, "11111111111111111110011001011110" }
{ -1214, "11111111111111111111101101000010" }
{ -4444, "11111111111111111110111010100100" }
{ -9350, "11111111111111111101101101111010" }
{ 1852, "00000000000000000000011100111100" }
{ 9927, "00000000000000000010011011000111" }
{ 1528, "00000000000000000000010111111000" }
{ -9989, "11111111111111111101100011111011" }
{ -3324, "11111111111111111111001100000100" }
{ 8301, "00000000000000000010000001101101" }
{ 2341, "00000000000000000000100100100101" }
{ 1144, "00000000000000000000010001111000" }
{ -4386, "11111111111111111110111011011110" }
{ 876, "00000000000000000000001101101100" }
{ 4317, "00000000000000000001000011011101" }
{ -2608, "11111111111111111111010111010000" }
{ 6295, "00000000000000000001100010010111" }
{ 2538, "00000000000000000000100111101010" }
{ -3490, "11111111111111111111001001011110" }
{ -1272, "11111111111111111111101100001000" }
{ -3070, "11111111111111111111010000000010" }
{ -9331, "11111111111111111101101110001101" }
{ -6752, "11111111111111111110010110100000" }
{ 8108, "00000000000000000001111110101100" }
{ -2469, "11111111111111111111011001011011" }
{ 3361, "00000000000000000000110100100001" }
{ 2989, "00000000000000000000101110101101" }
{ 1492, "00000000000000000000010111010100" }
{ -9413, "11111111111111111101101100111011" }
{ -8188, "11111111111111111110000000000100" }
{ 6729, "00000000000000000001101001001001" }
{ 7192, "00000000000000000001110000011000" }
{ 5333, "00000000000000000001010011010101" }
{ 2196, "00000000000000000000100010010100" }
{ -5244, "11111111111111111110101110000100" }
{ -2534, "11111111111111111111011000011010" }
{ -9844, "11111111111111111101100110001100" }
{ -7432, "11111111111111111110001011111000" }
{ -9679, "11111111111111111101101000110001" }
{ 8651, "00000000000000000010000111001011" }
{ 7285, "00000000000000000001110001110101" }
{ 2772, "00000000000000000000101011010100" }
{ 1078, "00000000000000000000010000110110" }
{ -8214, "11111111111111111101111111101010" }
{ -9041, "11111111111111111101110010101111" }
{ 7080, "00000000000000000001101110101000" }
{ -7693, "11111111111111111110000111110011" }
{ -3905, "11111111111111111111000010111111" }
{ -5857, "11111111111111111110100100011111" }
{ -2030, "11111111111111111111100000010010" }
{ 2972, "00000000000000000000101110011100" }
