{ 20, 32 }
{ 16, 16 }
{ 59505, 65536 }
{ 29309, 32768 }
{ 26440, 32768 }
{ 20127, 32768 }
{ 69805, 131072 }
{ 81340, 131072 }
{ 7844, 8192 }
{ 41704, 65536 }
{ 42190, 65536 }
{ 16516, 32768 }
{ 6198, 8192 }
{ 96776, 131072 }
{ 53066, 65536 }
{ 42750, 65536 }
{ 70042, 131072 }
{ 41280, 65536 }
{ 7829, 8192 }
{ 8497, 16384 }
{ 22493, 32768 }
{ 39521, 65536 }
{ 71980, 131072 }
{ 4438, 8192 }
{ 79802, 131072 }
{ 78374, 131072 }
{ 70726, 131072 }
{ 20507, 32768 }
{ 72282, 131072 }
{ 59799, 65536 }
{ 46805, 65536 }
{ 67446, 131072 }
{ 94189, 131072 }
{ 40135, 65536 }
{ 28112, 32768 }
{ 468, 512 }
{ 17322, 32768 }
{ 58532, 65536 }
{ 90328, 131072 }
{ 73494, 131072 }
{ 42287, 65536 }
{ 74615, 131072 }
{ 52842, 65536 }
{ 1219, 2048 }
{ 51987, 65536 }
{ 79760, 131072 }
{ 54980, 65536 }
{ 64270, 65536 }
{ 79226, 131072 }
{ 14634, 16384 }
{ 60643, 65536 }
{ 64356, 65536 }
{ 36853, 65536 }
{ 66840, 131072 }
{ 27351, 32768 }
{ 51467, 65536 }
{ 65994, 131072 }
{ 51224, 65536 }
{ 38489, 65536 }
{ 4048, 4096 }
{ 34294, 65536 }
{ 69250, 131072 }
{ 15313, 16384 }
{ 76132, 131072 }
{ 14857, 16384 }
{ 19876, 32768 }
{ 54396, 65536 }
{ 7443, 8192 }
{ 54322, 65536 }
{ 47163, 65536 }
{ 84300, 131072 }
{ 70721, 131072 }
{ 7388, 8192 }
{ 46525, 65536 }
{ 89379, 131072 }
{ 29456, 32768 }
{ 86619, 131072 }
{ 25861, 32768 }
{ 43791, 65536 }
{ 9770, 16384 }
{ 61672, 65536 }
{ 66721, 131072 }
{ 69244, 131072 }
{ 89115, 131072 }
{ 85736, 131072 }
{ 34569, 65536 }
{ 33301, 65536 }
{ 80032, 131072 }
{ 9804, 16384 }
{ 14293, 16384 }
{ 50921, 65536 }
{ 81661, 131072 }
{ 10400, 16384 }
{ 74308, 131072 }
{ 27561, 32768 }
{ 26530, 32768 }
{ 99293, 131072 }
{ 97935, 131072 }
{ 86907, 131072 }
{ 58407, 65536 }
{ 27314, 32768 }
{ 59186, 65536 }
{ 23582, 32768 }
{ 57060, 65536 }
{ 95529, 131072 }
{ 99755, 131072 }
{ 73293, 131072 }
{ 35217, 65536 }
{ 23671, 32768 }
{ 89971, 131072 }
{ 62212, 65536 }
{ 52578, 65536 }
{ 99568, 131072 }
{ 16850, 32768 }
{ 64455, 65536 }
{ 23396, 32768 }
{ 51840, 65536 }
{ 79730, 131072 }
{ 86611, 131072 }
{ 18908, 32768 }
{ 51033, 65536 }
{ 7986, 8192 }
{ 16169, 16384 }
{ 57011, 65536 }
{ 8542, 16384 }
{ 84282, 131072 }
{ 45964, 65536 }
{ 21498, 32768 }
{ 67568, 131072 }
{ 10287, 16384 }
{ 40474, 65536 }
{ 19599, 32768 }
{ 6404, 8192 }
{ 58284, 65536 }
{ 56442, 65536 }
