{ { 5 8 2 5 8 2 8 5 1 8 2 }, { 5 1 2 } }
{ { 26 }, { 26 } }
{ { 11 26 }, { 26 11 } }
{ { 19 14 2 }, { 2 19 14 } }
{ { 29 0 11 18 }, { 29 18 0 11 } }
{ { 0 7 24 7 31 }, { 31 0 24 } }
{ { 4 31 4 5 23 29 }, { 31 29 5 23 } }
{ { 1 5 24 16 13 27 22 }, { 1 27 5 16 24 13 22 } }
{ { 4 2 26 5 27 26 0 27 }, { 4 5 0 2 } }
{ { 15 29 17 14 31 10 20 23 13 }, { 29 23 31 20 13 10 15 14 17 } }
{ { 11 6 12 29 20 16 26 7 30 4 }, { 30 20 16 6 11 26 4 29 7 12 } }
{ { 8 13 25 1 11 5 25 12 6 16 16 }, { 13 5 12 1 6 11 8 } }
{ { 8 17 4 15 19 11 15 15 8 7 7 26 }, { 11 19 26 4 15 17 } }
{ { 6 31 4 17 26 8 4 11 12 16 15 8 23 }, { 31 11 17 6 16 23 12 26 15 } }
{ { 5 22 19 11 2 31 16 19 25 26 19 25 28 29 }, { 31 29 28 26 2 22 11 5 16 19 } }
{ { 31 18 17 15 14 23 4 13 15 5 15 10 14 25 25 }, { 31 23 18 17 5 10 15 4 13 } }
{ { 15 5 0 5 21 20 17 28 21 8 11 28 9 5 2 11 }, { 17 15 2 0 5 8 20 9 } }
{ { 17 3 16 12 21 4 9 13 3 20 16 31 11 2 18 15 20 }, { 21 18 17 15 4 31 9 13 2 12 11 } }
{ { 29 9 9 22 30 4 18 13 9 22 4 15 25 11 12 2 9 18 }, { 30 29 25 11 12 2 13 15 } }
{ { 6 17 15 16 22 13 29 3 17 16 14 13 28 22 5 25 24 28 2 }, { 29 15 24 2 5 6 25 3 14 } }
{ { 29 22 7 28 16 8 2 8 11 23 30 9 14 25 14 9 20 25 10 4 }, { 11 22 10 30 7 29 2 4 16 20 23 28 } }
{ { 16 27 29 15 0 25 15 15 30 24 17 15 30 11 21 1 15 8 1 30 23 }, { 30 29 16 27 11 15 8 17 21 0 23 24 25 } }
{ { 19 22 10 24 12 19 20 10 31 7 11 6 7 18 29 1 19 22 19 10 0 22 }, { 31 10 0 11 22 12 18 6 29 20 1 24 } }
{ { 5 29 13 25 23 22 16 26 0 11 22 5 23 26 27 16 13 18 5 0 13 23 13 }, { 11 27 5 25 29 18 23 } }
{ { 24 29 12 0 22 23 15 4 11 0 3 11 27 19 26 24 7 19 11 16 4 18 14 18 }, { 29 14 11 22 12 23 7 15 3 26 16 27 } }
{ { 3 }, { 3 } }
{ { 21 27 }, { 27 21 } }
{ { 25 2 7 }, { 25 2 7 } }
{ { 5 4 29 12 }, { 12 29 4 5 } }
{ { 23 0 18 29 8 }, { 29 0 23 18 8 } }
{ { 31 29 8 7 8 4 }, { 31 29 4 7 } }
{ { 3 5 12 15 7 23 9 }, { 15 5 3 7 23 12 9 } }
{ { 18 28 17 21 26 20 19 29 }, { 26 29 18 28 17 19 20 21 } }
{ { 9 19 5 10 7 12 29 12 9 }, { 29 19 10 5 7 } }
{ { 29 20 6 14 24 20 11 3 24 11 }, { 29 14 3 6 } }
{ { 30 17 23 12 26 10 27 15 21 8 14 }, { 27 17 21 10 26 15 30 8 23 12 14 } }
{ { 7 28 15 19 4 5 6 25 19 14 3 14 }, { 15 4 25 3 5 28 6 7 } }
{ { 19 25 9 20 19 13 0 20 1 21 4 14 9 }, { 21 1 0 4 25 14 13 } }
{ { 13 16 17 8 15 17 3 15 22 31 26 10 27 12 }, { 31 26 22 27 16 8 3 13 10 12 } }
{ { 24 18 7 31 25 4 15 26 22 26 22 17 28 17 4 }, { 31 28 15 25 7 18 24 } }
{ { 21 20 28 24 11 5 20 27 30 30 11 8 16 16 27 16 }, { 28 8 5 16 21 24 } }
{ { 25 4 5 20 25 0 11 7 17 18 6 17 11 27 15 11 0 }, { 20 27 5 15 4 6 11 18 7 } }
