{ 127, 1 }
{ 17, 0 }
{ 3975, 0 }
{ 6665, 1 }
{ 9785, 1 }
{ 7004, 0 }
{ 3018, 1 }
{ 3619, 0 }
{ 1449, 0 }
{ 8178, 0 }
{ 7992, 0 }
{ 4954, 1 }
{ 5536, 1 }
{ 7564, 1 }
{ 9227, 1 }
{ 4061, 0 }
{ 3678, 0 }
{ 1082, 1 }
{ 2168, 1 }
{ 7731, 0 }
{ 7330, 0 }
{ 8453, 0 }
{ 3222, 0 }
{ 8945, 1 }
{ 3639, 0 }
{ 8109, 0 }
{ 9222, 0 }
{ 91, 1 }
{ 1115, 0 }
{ 4357, 0 }
{ 418, 0 }
{ 4821, 1 }
{ 5172, 1 }
{ 7597, 1 }
{ 7594, 0 }
{ 5200, 0 }
{ 2937, 0 }
{ 1738, 0 }
{ 8344, 0 }
{ 3509, 0 }
{ 5207, 1 }
{ 774, 0 }
{ 3132, 0 }
{ 2160, 0 }
{ 8003, 0 }
{ 1061, 0 }
{ 1455, 0 }
{ 4333, 1 }
{ 1264, 1 }
{ 1517, 0 }
{ 6245, 0 }
{ 3564, 0 }
{ 5305, 1 }
{ 3348, 1 }
{ 588, 0 }
{ 8114, 1 }
{ 3364, 1 }
{ 6532, 1 }
{ 1033, 1 }
{ 971, 1 }
{ 8958, 1 }
{ 889, 1 }
{ 6177, 0 }
{ 3718, 0 }
{ 7288, 1 }
{ 6955, 0 }
{ 1756, 1 }
{ 5744, 0 }
{ 4391, 0 }
{ 9436, 1 }
{ 1988, 0 }
{ 7993, 1 }
{ 3003, 1 }
{ 9073, 1 }
{ 1782, 0 }
{ 7322, 1 }
{ 2604, 1 }
{ 1654, 1 }
{ 936, 1 }
{ 8935, 0 }
{ 4671, 0 }
{ 1495, 0 }
{ 8268, 0 }
{ 4630, 1 }
{ 7599, 0 }
{ 2119, 1 }
{ 5683, 1 }
{ 4131, 0 }
{ 2300, 1 }
{ 9248, 1 }
{ 296, 1 }
{ 8190, 0 }
{ 3660, 0 }
{ 8602, 0 }
{ 9158, 1 }
{ 8915, 1 }
{ 1390, 1 }
{ 6782, 1 }
{ 4239, 0 }
{ 5876, 0 }
{ 261, 1 }
{ 5836, 1 }
{ 5675, 1 }
{ 4345, 1 }
{ 1227, 0 }
{ 1396, 0 }
{ 7111, 1 }
{ 5211, 1 }
{ 6857, 1 }
{ 673, 0 }
{ 6545, 0 }
{ 3008, 1 }
{ 2123, 1 }
{ 2075, 1 }
{ 294, 0 }
{ 9693, 1 }
{ 7560, 0 }
{ 5340, 1 }
{ 9773, 1 }
{ 949, 1 }
{ 7231, 1 }
{ 9449, 1 }
{ 9994, 0 }
{ 5291, 1 }
{ 6320, 1 }
{ 2221, 0 }
{ 8441, 1 }
{ 7871, 1 }
{ 8407, 1 }
