{ -1000, 4 }
{ -999, 1 }
{ -998, 2 }
{ -997, 1 }
{ -996, 3 }
{ -995, 1 }
{ -994, 2 }
{ -993, 1 }
{ -992, 6 }
{ -991, 1 }
{ -990, 2 }
{ -989, 1 }
{ -988, 3 }
{ -987, 1 }
{ -986, 2 }
{ -985, 1 }
{ -984, 4 }
{ -983, 1 }
{ -982, 2 }
{ -981, 1 }
{ -980, 3 }
{ -979, 1 }
{ -978, 2 }
{ -977, 1 }
{ -976, 5 }
{ -975, 1 }
{ -974, 2 }
{ -973, 1 }
{ -972, 3 }
{ -971, 1 }
{ -970, 2 }
{ -969, 1 }
{ -968, 4 }
{ -967, 1 }
{ -966, 2 }
{ -965, 1 }
{ -964, 3 }
{ -963, 1 }
{ -962, 2 }
{ -961, 1 }
{ -960, 7 }
{ -959, 1 }
{ -958, 2 }
{ -957, 1 }
{ -956, 3 }
{ -955, 1 }
{ -954, 2 }
{ -953, 1 }
{ -952, 4 }
{ -951, 1 }
{ -950, 2 }
{ -949, 1 }
{ -948, 3 }
{ -947, 1 }
{ -946, 2 }
{ -945, 1 }
{ -944, 5 }
{ -943, 1 }
{ -942, 2 }
{ -941, 1 }
{ -940, 3 }
{ -939, 1 }
{ -938, 2 }
{ -937, 1 }
{ -936, 4 }
{ -935, 1 }
{ -934, 2 }
{ -933, 1 }
{ -932, 3 }
{ -931, 1 }
{ -930, 2 }
{ -929, 1 }
{ -928, 6 }
{ -927, 1 }
{ -926, 2 }
{ -925, 1 }
{ -924, 3 }
{ -923, 1 }
{ -922, 2 }
{ -921, 1 }
{ -920, 4 }
{ -919, 1 }
{ -918, 2 }
{ -917, 1 }
{ -916, 3 }
{ -915, 1 }
{ -914, 2 }
{ -913, 1 }
{ -912, 5 }
{ -911, 1 }
{ -910, 2 }
{ -909, 1 }
{ -908, 3 }
{ -907, 1 }
{ -906, 2 }
{ -905, 1 }
{ -904, 4 }
{ -903, 1 }
{ -902, 2 }
{ -901, 1 }
{ -900, 3 }
{ -899, 1 }
{ -898, 2 }
{ -897, 1 }
{ -896, 8 }
{ -895, 1 }
{ -894, 2 }
{ -893, 1 }
{ -892, 3 }
{ -891, 1 }
{ -890, 2 }
{ -889, 1 }
{ -888, 4 }
{ -887, 1 }
{ -886, 2 }
{ -885, 1 }
{ -884, 3 }
{ -883, 1 }
{ -882, 2 }
{ -881, 1 }
{ -880, 5 }
{ -879, 1 }
{ -878, 2 }
{ -877, 1 }
{ -876, 3 }
{ -875, 1 }
{ -874, 2 }
{ -873, 1 }
{ -872, 4 }
{ -871, 1 }
{ -870, 2 }
{ -869, 1 }
{ -868, 3 }
{ -867, 1 }
{ -866, 2 }
{ -865, 1 }
{ -864, 6 }
{ -863, 1 }
{ -862, 2 }
{ -861, 1 }
{ -860, 3 }
{ -859, 1 }
{ -858, 2 }
{ -857, 1 }
{ -856, 4 }
{ -855, 1 }
{ -854, 2 }
{ -853, 1 }
{ -852, 3 }
{ -851, 1 }
{ -850, 2 }
{ -849, 1 }
{ -848, 5 }
{ -847, 1 }
{ -846, 2 }
{ -845, 1 }
