{ 1691315356, 959902502 }
{ -100, 973078527 }
{ 6880, 123207680 }
{ 8096, 100139008 }
{ 6548, 697827328 }
{ -7456, 122159103 }
{ -8776, 498860031 }
{ -1076, 870318079 }
{ -164, 989855743 }
{ 5268, 690487296 }
{ -4064, 68157439 }
{ -212, 889192447 }
{ 9424, 186908672 }
{ 4272, 218628096 }
{ 8496, 209977344 }
{ 2240, 51380224 }
{ -6876, 614989823 }
{ 8020, 720896000 }
{ -4116, 938999807 }
{ 7084, 903348224 }
{ 360, 377487360 }
{ -6936, 388497407 }
{ -1684, 916455423 }
{ -6956, 724041727 }
{ -5988, 957874175 }
{ -9484, 794558463 }
{ 1156, 555745280 }
{ -8860, 649854975 }
{ 8524, 847511552 }
{ -9768, 463208447 }
{ -4344, 284688383 }
{ 3672, 443547648 }
{ 6760, 374865920 }
{ -7504, 222822399 }
{ -9292, 769392639 }
{ -2120, 502267903 }
{ 2604, 877658112 }
{ 788, 683671552 }
{ 2360, 479199232 }
{ 4492, 830996480 }
{ 3328, 11534336 }
{ 8024, 452460544 }
{ -3768, 311427071 }
{ -332, 763363327 }
{ 4920, 482869248 }
{ 304, 209715200 }
{ -7948, 789053439 }
{ 300, 880803840 }
{ 4248, 419954688 }
{ -9932, 748421119 }
{ -3452, 558891007 }
{ 7752, 309854208 }
{ -8548, 964427775 }
{ 7104, 64487424 }
{ -2412, 695205887 }
{ -8736, 129761279 }
{ 7056, 165150720 }
{ 3064, 533725184 }
{ -5152, 131596287 }
{ 6752, 106430464 }
{ 4320, 117964800 }
{ -136, 520093695 }
{ -1840, 186646527 }
{ 6148, 538443776 }
{ -6944, 120061951 }
{ -2544, 141557759 }
{ -6832, 178782207 }
{ -7828, 914882559 }
{ 16, 134217728 }
{ -2512, 208666623 }
{ 4380, 948436992 }
{ -6116, 941096959 }
{ 3492, 632291328 }
{ 164, 620756992 }
{ 6264, 504889344 }
{ -8968, 524025855 }
{ 9608, 295960576 }
{ 4364, 814219264 }
{ 9304, 438566912 }
{ 5476, 648544256 }
{ 3920, 183500800 }
{ 104, 369098752 }
{ -1024, 4194303 }
{ 9192, 398721024 }
{ 2416, 244318208 }
{ -7084, 707264511 }
{ 4048, 200278016 }
{ 5512, 296222720 }
{ 3536, 196083712 }
{ 8988, 952369152 }
{ 4768, 88604672 }
{ 5540, 631767040 }
{ -3104, 131071999 }
{ -6740, 900202495 }
{ -4732, 565706751 }
{ 7224, 473432064 }
{ 436, 763363328 }
{ 7080, 366477312 }
{ 4308, 721944576 }
{ 2200, 420478976 }
{ 1728, 56623104 }
{ 4556, 864550912 }
{ -3540, 877658111 }
{ 1160, 287309824 }
{ 8208, 134479872 }
{ 8608, 92536832 }
{ 820, 750780416 }
{ -5712, 228065279 }
{ -6900, 816316415 }
{ -1524, 811597823 }
{ -1128, 434110463 }
{ 6828, 894959616 }
{ 3924, 720371712 }
{ 220, 989855744 }
{ -3112, 466616319 }
{ 916, 700448768 }
{ 3760, 225443840 }
{ 5920, 82313216 }
{ -7260, 633864191 }
{ 2668, 911212544 }
{ -7856, 176685055 }
{ 2264, 454033408 }
{ 9964, 929300480 }
{ -592, 230686719 }
{ -2840, 389021695 }
{ 2844, 953155584 }
{ 1092, 572522496 }
{ 8584, 293863424 }
{ -5312, 47710207 }
{ 9864, 291766272 }
{ -9648, 173801471 }
{ -8276, 905707519 }
{ -5352, 416808959 }
{ 3116, 875560960 }
{ -1948, 639631359 }
{ -876, 692060159 }
{ 2136, 437256192 }
{ -2348, 728760319 }
{ -8356, 989593599 }
{ -3612, 663748607 }
{ 796, 952107008 }
{ -5576, 475529215 }
{ -5324, 752353279 }
{ -4876, 792199167 }
{ -3320, 282066943 }
{ 6252, 907542528 }
{ 6864, 190316544 }
{ 9644, 899940352 }
{ 3524, 598736896 }
{ -7628, 742916095 }
{ -7416, 281542655 }
{ 8652, 864288768 }
{ 2764, 860880896 }
{ -5568, 39321599 }
