{ 761622921, 513454662 }
{ 6368, 9424 }
{ 9779, 6451 }
{ 4913, 9010 }
{ 4048, 4064 }
{ 7309, 11342 }
{ 9377, 6226 }
{ 7265, 11410 }
{ 5141, 10282 }
{ 3117, 3102 }
{ 3598, 3341 }
{ 6970, 10037 }
{ 3837, 3582 }
{ 4677, 8586 }
{ 5978, 11173 }
{ 3248, 3184 }
{ 7744, 11648 }
{ 3064, 2036 }
{ 8443, 4343 }
{ 2038, 3065 }
{ 8670, 4845 }
{ 4667, 8503 }
{ 7677, 12030 }
{ 4220, 8380 }
{ 9400, 6260 }
{ 2781, 1518 }
{ 2689, 1346 }
{ 4897, 8978 }
{ 4828, 8684 }
{ 7857, 11634 }
{ 2957, 1870 }
{ 4040, 4036 }
{ 4167, 8331 }
{ 7870, 11645 }
{ 8397, 4302 }
{ 4522, 8789 }
{ 6539, 9799 }
{ 7650, 11985 }
{ 2974, 1901 }
{ 2816, 1792 }
{ 484, 728 }
{ 9838, 6557 }
{ 6626, 9937 }
{ 4703, 8623 }
{ 1619, 2467 }
{ 7487, 11839 }
{ 5350, 10457 }
{ 5824, 10688 }
{ 9488, 6688 }
{ 8875, 4439 }
{ 9185, 5074 }
{ 3008, 1984 }
{ 8625, 4722 }
{ 234, 213 }
{ 5556, 10872 }
{ 2423, 1723 }
{ 7435, 11783 }
{ 8513, 4738 }
{ 6424, 9764 }
{ 408, 612 }
{ 3559, 3803 }
{ 9270, 6201 }
{ 3687, 3483 }
{ 8384, 4288 }
{ 4442, 8869 }
{ 3036, 2028 }
{ 3737, 3430 }
{ 5699, 10627 }
{ 1543, 2315 }
{ 388, 584 }
{ 4619, 8455 }
{ 6957, 10014 }
{ 5679, 10527 }
{ 7506, 11937 }
{ 8602, 4709 }
{ 9327, 6303 }
{ 1787, 2551 }
{ 9288, 6276 }
{ 329, 646 }
{ 810, 789 }
{ 8669, 4846 }
{ 9031, 5003 }
{ 7409, 11506 }
{ 1009, 1010 }
{ 9320, 6292 }
{ 9227, 6151 }
{ 2526, 1773 }
{ 3245, 3166 }
{ 2997, 1914 }
{ 9719, 6907 }
{ 9731, 6403 }
{ 2014, 3053 }
{ 7752, 11652 }
{ 1357, 2702 }
{ 4494, 8781 }
{ 2623, 1343 }
{ 8478, 4653 }
{ 4213, 8378 }
{ 4185, 8358 }
{ 3677, 3502 }
{ 458, 709 }
{ 4944, 9120 }
{ 1829, 2842 }
{ 18, 33 }
{ 1300, 2600 }
{ 162, 81 }
{ 3862, 3881 }
{ 9042, 5025 }
{ 2367, 1599 }
{ 6440, 9748 }
{ 9596, 6844 }
{ 9094, 4937 }
{ 8561, 4786 }
{ 9247, 6191 }
{ 6777, 9654 }
{ 3533, 3790 }
{ 8028, 12204 }
{ 6990, 10125 }
{ 499, 755 }
{ 1134, 2205 }
{ 4990, 9149 }
{ 2567, 1291 }
{ 3905, 3970 }
{ 1713, 2418 }
{ 8051, 12211 }
{ 8762, 4405 }
{ 7831, 11627 }
{ 8198, 4105 }
{ 2777, 1510 }
{ 4840, 8660 }
{ 2933, 1978 }
{ 9416, 6340 }
{ 2067, 1059 }
{ 3366, 3609 }
{ 3086, 3085 }
{ 8284, 4268 }
{ 3424, 3728 }
{ 5403, 10791 }
{ 3848, 3844 }
{ 4321, 8402 }
{ 6787, 9539 }
{ 2544, 1776 }
{ 6314, 9301 }
{ 6072, 11124 }
{ 9694, 6893 }
{ 8793, 4518 }
{ 8594, 4705 }
{ 1649, 2482 }
{ 1916, 3004 }
{ 8548, 4760 }
{ 2097, 1074 }
{ 6033, 11106 }
{ 1013, 1018 }
{ 7527, 11931 }
{ 7724, 11548 }
{ 6155, 9223 }
{ 9566, 6829 }
{ 9057, 5010 }
{ 6758, 9625 }
{ 2331, 1575 }
{ 5260, 10316 }
{ 2853, 1818 }
{ 8663, 4843 }
{ 7981, 12062 }
{ 4618, 8453 }
{ 7693, 11534 }
{ 5454, 10893 }
{ 1455, 2655 }
{ 5546, 10837 }
{ 9312, 6288 }
{ 1273, 2294 }
{ 5470, 10925 }
{ 9754, 6437 }
{ 1073, 2098 }
{ 5366, 10489 }
{ 280, 548 }
{ 881, 946 }
{ 4084, 4088 }
{ 4983, 9147 }
{ 2450, 1633 }
{ 7866, 11637 }
{ 9908, 6520 }
{ 891, 951 }
{ 3643, 3383 }
{ 7627, 11975 }
{ 3166, 3245 }
{ 598, 425 }
{ 6885, 9690 }
{ 9847, 6587 }
{ 5239, 10427 }
{ 2524, 1772 }
{ 7320, 11364 }
{ 8950, 4601 }
{ 3399, 3723 }
{ 7880, 11716 }
{ 4698, 8613 }
{ 1879, 2987 }
{ 5290, 10325 }
{ 1897, 2966 }
{ 5658, 10533 }
{ 469, 746 }
{ 4974, 9117 }
{ 1251, 2259 }
{ 791, 811 }
{ 962, 961 }
{ 8220, 4140 }
{ 3829, 3578 }
{ 5541, 10842 }
{ 7343, 11359 }
{ 240, 240 }
{ 6229, 9386 }
{ 9563, 6823 }
{ 5390, 10765 }
{ 6026, 11077 }
{ 4193, 8338 }
{ 1542, 2313 }
{ 3795, 3555 }
{ 559, 287 }
{ 9574, 6809 }
{ 9404, 6268 }
{ 7433, 11782 }
{ 5376, 10752 }
{ 6413, 9742 }
{ 796, 812 }
{ 2790, 1497 }
{ 2028, 3036 }
{ 8642, 4801 }
{ 3225, 3174 }
{ 5180, 10300 }
{ 1060, 2072 }
{ 2416, 1712 }
{ 998, 985 }
{ 9852, 6588 }
{ 9982, 6653 }
{ 5010, 9057 }
{ 4429, 8846 }
{ 9871, 6479 }
{ 1693, 2414 }
{ 870, 921 }
{ 6432, 9744 }
{ 9454, 6365 }
{ 4197, 8346 }
{ 1323, 2583 }
{ 3368, 3604 }
{ 603, 423 }
{ 5754, 10677 }
{ 2398, 1709 }
{ 2110, 1085 }
{ 3126, 3129 }
{ 7965, 12078 }
{ 1281, 2562 }
{ 9961, 6614 }
{ 3691, 3479 }
{ 6023, 11083 }
{ 3806, 3565 }
{ 1038, 2061 }
{ 4596, 8952 }
{ 3144, 3204 }
{ 3096, 3108 }
{ 9457, 6386 }
{ 2766, 1485 }
{ 3878, 3865 }
{ 8227, 4115 }
{ 6238, 9389 }
{ 8293, 4250 }
{ 1580, 2332 }
{ 4012, 3932 }
{ 370, 689 }
{ 1388, 2716 }
{ 1962, 2901 }
{ 9029, 5002 }
{ 6053, 11098 }
{ 1739, 2503 }
{ 6602, 9925 }
{ 4397, 8734 }
{ 4265, 8278 }
{ 43, 23 }
{ 997, 986 }
{ 51, 51 }
{ 2322, 1569 }
{ 8514, 4737 }
{ 2608, 1328 }
{ 1275, 2295 }
{ 1031, 2059 }
{ 748, 476 }
{ 7475, 11827 }
{ 8179, 12275 }
{ 2500, 1736 }
{ 8880, 4464 }
{ 242, 241 }
{ 5597, 10990 }
{ 2125, 1166 }
{ 5001, 9030 }
{ 8277, 4266 }
{ 4361, 8710 }
{ 5743, 10655 }
{ 5018, 9061 }
{ 9225, 6150 }
{ 1647, 2463 }
{ 7876, 11720 }
{ 4071, 4059 }
{ 7003, 10151 }
{ 2826, 1797 }
{ 7665, 12018 }
{ 8292, 4248 }
{ 5320, 10436 }
{ 8930, 4561 }
{ 8344, 4196 }
{ 3465, 3654 }
{ 7440, 11808 }
{ 6815, 9583 }
{ 411, 615 }
{ 5894, 11017 }
{ 3689, 3478 }
{ 6118, 11225 }
{ 9502, 6701 }
{ 8647, 4811 }
{ 3107, 3091 }
{ 3242, 3157 }
{ 7690, 11525 }
{ 3024, 2016 }
{ 6965, 10042 }
{ 4907, 8983 }
{ 3970, 3905 }
{ 6196, 9272 }
{ 1452, 2652 }
{ 6006, 11193 }
{ 1340, 2620 }
{ 3785, 3526 }
{ 1506, 2769 }
{ 2649, 1446 }
{ 6487, 9899 }
{ 8903, 4555 }
{ 6372, 9432 }
{ 5493, 10938 }
{ 1194, 2133 }
