{ { 10, 8, 15, 12, 6, 20, 1 }, { 4, 3, 6, 5, 2, 7, 1 } }
{ { 0, 1, -1 }, { 2, 3, 1 } }
{ { 5 1 4 2 }, { 4 1 3 2 } }
{ { 1 9 4 8 2 6 }, { 1 6 3 5 2 4 } }
{ { -3 5 2 4 0 9 -5 1 }, { 2 7 5 6 3 8 1 4 } }
{ { 3 1 5 -7 -4 -2 9 0 }, { 6 5 7 1 2 3 8 4 } }
{ { -2 3 -7 1 4 -1 10 -6 -9 0 }, { 4 8 2 7 9 5 10 3 1 6 } }
{ { -2 3 2 7 -8 5 }, { 2 4 3 6 1 5 } }
{ { -4 4 0 }, { 1 3 2 } }
{ { -1 2 }, { 1 2 } }
{ { 4 0 -4 }, { 3 2 1 } }
{ { 4 2 -1 1 }, { 4 3 1 2 } }
{ { 5 3 4 -1 }, { 4 2 3 1 } }
{ { 3 7 0 -4 1 -2 9 -5 }, { 6 7 4 2 5 3 8 1 } }
{ { 3 5 4 2 1 -7 -9 0 }, { 6 8 7 5 4 2 1 3 } }
{ { 2 4 0 -9 -3 1 5 -7 }, { 6 7 4 1 3 5 8 2 } }
{ { 5 -7 4 1 -2 -3 0 -9 }, { 8 2 7 6 4 3 5 1 } }
{ { 5 10 20 80 40 0 }, { 2 3 4 6 5 1 } }
{ { 8 -3 -2 5 -8 7 1 }, { 7 2 3 5 1 6 4 } }
{ { -5 1 -1 -6 }, { 2 4 3 1 } }
{ { 0 2 3 1 }, { 1 3 4 2 } }
{ { 1 3 }, { 1 2 } }
{ { 4 0 2 }, { 3 1 2 } }
{ { -3 -1 -2 0 5 }, { 1 3 2 4 5 } }
{ { -1 -4 3 -2 6 }, { 3 1 4 2 5 } }
{ { 3 1 7 2 }, { 3 1 4 2 } }
{ { -3 -2 8 -1 }, { 1 2 4 3 } }
{ { 9 5 1 6 }, { 4 2 1 3 } }
{ { -3 2 -2 -1 }, { 1 4 2 3 } }
{ { -1 2 4 -3 0 }, { 2 4 5 1 3 } }
{ { -2 -1 1 3 6 }, { 1 2 3 4 5 } }
{ { -5 -2 -4 -7 -3 1 -6 }, { 3 6 4 1 5 7 2 } }
{ { 4 1 3 -2 -3 }, { 5 3 4 2 1 } }
{ { 4 3 0 2 1 }, { 5 4 1 3 2 } }
{ { 3 2 1 0 5 4 }, { 4 3 2 1 6 5 } }
{ { 6 0 1 4 3 2 }, { 6 1 2 5 4 3 } }
{ { 3 1 7 4 0 2 }, { 4 2 6 5 1 3 } }
{ { 8 1 2 3 }, { 4 1 2 3 } }
{ { 2 0 1 3 9 }, { 3 1 2 4 5 } }
{ { 3 0 2 1 }, { 4 1 3 2 } }
{ { 0 2 1 3 }, { 1 3 2 4 } }
{ { 6 -4 -3 2 3 }, { 5 1 2 3 4 } }
{ { 2 3 1 }, { 2 3 1 } }
{ { 2 4 3 1 6 }, { 2 4 3 1 5 } }
{ { 5 1 3 }, { 3 1 2 } }
{ { 2 0 6 4 }, { 2 1 4 3 } }
{ { 2 1 6 7 4 }, { 2 1 4 5 3 } }
{ { 7 3 -7 8 -9 -8 10 }, { 5 4 3 6 1 2 7 } }
{ { 1 4 6 3 7 }, { 1 3 4 2 5 } }
