"ABCDBAGHCHFAC", 3 ['D', 'G', 'F']
"ABBCDAB", 3 ['C', 'D']
"YYXBYX", 2 ['B']
"YYXBYXB", 3 []
"ABCDBAGHCHFAC", 3, [ 'D' 'G' 'F' ]
"abcbdbdbbdcdabd", 2, []
"abcbdbdbbdcdabd", 3, []
"abcbdbdbbdcdabd", 5, []
"", 2, []
"abcd", 3, [ 'a' 'b' 'c' ]
"aabcdcbaabcdcb", 2, []
"abdcbcdbdcbbc", 2, [ 'a' ]
"abcdeabcde", 2, []
"abdcbcdbdcbc", 2, [ 'a' ]
"asbananasbanan", 2, []
"ayabbya", 2, []
"baac", 2, [ 'b' 'c' ]
"bcdcdeaeba", 3, []
"cbdcdeeaba", 2, []
"bccddeeaab", 3, []
"bcdceadeab", 2, []
"cbcdedabea", 3, []
"cbdcedabea", 3, []
"cbcdeadbea", 4, []
"bccddeaeba", 3, []
"cbcdadab", 2, []
"bccddaba", 3, []
"adbabcdc", 3, []
"edabecdabc", 2, []
"edeaabbccd", 4, []
"eabdecdabc", 3, []
"eadbecdabc", 3, []
"deabeacdbc", 4, []
"edaebacbdc", 4, []
"eabcdeabdc", 4, []
"deeababccd", 4, []
"deeabcdabc", 2, []
"eadebcabdc", 2, []
"edeabcdabc", 2, []
"edaebcabcd", 4, []
"bcadebcade", 2, []
"bacbcdedae", 4, []
"bcdaeabcde", 4, []
"bcabcdedae", 3, []
"babcdcedae", 2, []
"bcadebacde", 4, []
"babcdecdea", 3, []
"babcdceade", 4, []
"abcbcddeea", 2, []
"bacdbceade", 2, []
"bacbdcedea", 3, []
"babcdcedea", 2, []
"bacdebacde", 3, []
"abbcdecade", 3, []
"bacbdecdae", 2, []
"abbcdecdae", 2, []
"abbcaade", 2, [ 'c' 'd' ]
"abbcdaea", 3, [ 'c' 'd' 'e' ]
"babcdaea", 2, [ 'c' 'd' ]
"abbyya", 2, []
"aybayb", 2, []
"abracadabraabracadabra", 3, []
"xybyaxbyabca", 4, [ 'c' ]
"bananas", 2, [ 'b' 's' ]
"cbaabcd", 3, [ 'd' ]
"xybyaxbyabca", 3, [ 'c' ]
"aabcdcbaabcdcb", 3, []
"bcdcba", 2, [ 'd' 'a' ]
"abca", 2, [ 'b' 'c' ]
"cdcbab", 3, [ 'd' 'a' ]
"cdcbaab", 3, [ 'd' ]
"dcbabc", 3, [ 'd' 'a' ]
"dcbabcdcbabc", 2, []
"bcba", 2, [ 'c' 'a' ]
"bananas", 3, [ 'b' 's' ]
"cbabcd", 3, [ 'a' 'd' ]
"abcb", 2, [ 'a' 'c' ]
"abcda", 2, [ 'b' 'c' ]
"abcacb", 2, []
"bccdeabdea", 2, []
"bccddeaeab", 2, []
"cbcdedabea", 4, []
"bccdedaeba", 4, []
"cbdcedaeab", 4, []
"bccdeadeab", 4, []
"cbdcadab", 3, []
"deaebabcdc", 3, []
"edeabacdbc", 3, []
"eadebcdabc", 3, []
"deeababcdc", 3, []
"deabcdeabc", 2, []
"bacbcdedea", 3, []
"abbcdcedea", 4, []
"babccdedea", 2, []
"abcbdcedae", 3, []
"babaacde", 4, [ 'c' 'd' 'e' ]
"abcbdaea", 3, [ 'c' 'd' 'e' ]
"abbcdeaa", 3, [ 'c' 'd' 'e' ]
"abcbaade", 3, [ 'c' 'd' 'e' ]
"babcdeaa", 4, [ 'c' 'd' 'e' ]
"babacade", 2, [ 'c' 'd' ]
"babacdae", 3, [ 'c' 'd' 'e' ]
"xyyybxb", 2, []
"xbyyxby", 2, []
"bcdcdeaeab", 4, []
"cbdecdaeab", 3, []
"cdebcdaeba", 3, []
"cdbecadeab", 2, []
"cbdecdabea", 3, []
"cdebcadeba", 4, []
"cdbecdeaba", 3, []
"bcdcadba", 2, []
"cbdacbda", 2, []
"cbdabcda", 3, []
"dababccd", 3, []
"dabacbdc", 2, []
"abcdabcd", 2, []
"eadbeacbdc", 3, []
"edaebabccd", 4, []
"eabdecdabc", 4, []
"edabceabdc", 3, []
"eadbceadbc", 4, []
"deeababcdc", 4, []
"eadbceabdc", 4, []
"deabceadbc", 3, []
"deeabcabdc", 2, []
"eadbeacbcd", 4, []
"eabdceab", 2, [ 'd' 'c' ]
"bacbcddeea", 3, []
"babccdeade", 2, []
"bacdbecdae", 4, []
"babcdeacde", 4, []
"bcabcdeade", 2, []
"abcdebaa", 4, [ 'c' 'd' 'e' ]
"abcdbaae", 2, [ 'c' 'd' ]
"babcadea", 4, [ 'c' 'd' 'e' ]
"abbaacde", 3, [ 'c' 'd' 'e' ]
"baabacde", 3, [ 'c' 'd' 'e' ]
"abcbaade", 2, [ 'c' 'd' ]
"bcdecdabea", 3, []
"cbdecdeaba", 3, []
"bcdecabdea", 4, []
"cdbcdeabea", 2, []
"cdeabcbdea", 2, []
"cbcddeeaab", 3, []
"cdebacdb", 4, [ 'e' 'a' ]
"cdbacdba", 3, []
"cbdabcda", 2, []
"daabcbdc", 3, []
"dabcdabc", 3, []
"eadeabcbdc", 4, []
"eabdceabcd", 4, []
"eabdceadbc", 3, []
"deaebacbcd", 3, []
"edabeacbcd", 3, []
"edaeabcbdc", 2, []
"edeaabbcdc", 3, []
"eabcdeab", 3, [ 'c' 'd' ]
"abcdebcdea", 2, []
"bcadbecdea", 4, []
"bacdbcedea", 2, []
"abcdbceade", 2, []
"bcadebacde", 2, []
"abcdbeacde", 2, []
"bcdabcdeae", 2, []
"bcadebcade", 4, []
"abcdbeaa", 4, [ 'c' 'd' 'e' ]
"abcbadae", 2, [ 'c' 'd' ]
"babcdaea", 3, [ 'c' 'd' 'e' ]
"abbcadae", 4, [ 'c' 'd' 'e' ]
"abbcdaea", 4, [ 'c' 'd' 'e' ]
"babcadea", 2, [ 'c' 'd' ]
"xbxbyyy", 2, []
"xybbxybb", 2, []
"bcdceadbea", 3, []
"cbcddeeaab", 2, []
"cbdcdeeaab", 2, []
"cdbecdeaab", 3, []
"cdbcdeabea", 3, []
"cdbcedeaab", 4, []
"bcdceadeba", 3, []
"cdebacdeab", 2, []
"bccdedeaba", 4, []
"abdacdbc", 3, []
"eadbcdeabc", 2, []
"eabdcedabc", 2, []
"eabcdeabcd", 2, []
"deeabacbcd", 4, []
"edaebabcdc", 4, []
"edeabcabcd", 3, []
"deaebacbcd", 2, []
"edeababcdc", 2, []
"abcbdcedae", 2, []
"bcabdcdeea", 3, []
"bacbcdedea", 2, []
"abcdebcade", 3, []
"abcbcdedae", 4, []
"abbccddeea", 3, []
"abbcdceade", 3, []
"abbcdaae", 4, [ 'c' 'd' 'e' ]
"babcdeaa", 3, [ 'c' 'd' 'e' ]
"ababcdae", 4, [ 'c' 'd' 'e' ]
"babcdaae", 4, [ 'c' 'd' 'e' ]
"baaabcde", 2, [ 'c' 'd' ]
"abbcdeaa", 4, [ 'c' 'd' 'e' ]
"incest", 4, [ 'i' 'n' 'c' 'e' ]
"xyz", 2, [ 'x' 'y' ]
"silent", 4, [ 's' 'i' 'l' 'e' ]
"silent", 3, [ 's' 'i' 'l' ]
"incest", 2, [ 'i' 'n' ]
"cdeab", 4, [ 'c' 'd' 'e' 'a' ]
"deabc", 3, [ 'd' 'e' 'a' ]
"bcdea", 3, [ 'b' 'c' 'd' ]
"abcde", 3, [ 'a' 'b' 'c' ]
"abcde", 2, [ 'a' 'b' ]
"cdeab", 3, [ 'c' 'd' 'e' ]
"cdab", 2, [ 'c' 'd' ]
"abcd", 2, [ 'a' 'b' ]
"eabcd", 2, [ 'e' 'a' ]
"bcdea", 2, [ 'b' 'c' ]
"abcde", 4, [ 'a' 'b' 'c' 'd' ]
"acab", 3, [ 'c' 'b' ]
"xbxbbyb", 4, [ 'y' ]
"bcdcbaabcdcbaa", 9, []
"abdcbcdbdcbcabdcbcdbdcbc", 24, []
"babcdcbabcdc", 9, []
"xybaxb", 6, [ 'y' 'a' ]
"aabcdcbaabcdcb", 14, []
"cdeabcdeab", 9, []
"bcdcbaabcdcbaa", 5, []
"deabcdeabc", 9, []
"xbxaxb", 3, [ 'a' ]
"abdcbcdbdcbbc", 13, [ 'a' ]
"bananasanasba", 13, []
"abdcbcdbdcbc", 6, [ 'a' ]
"cbabcd", 4, [ 'a' 'd' ]
"dcabcdcabc", 5, []
"cbabcbabc", 4, []
"acbaa", 3, [ 'c' 'b' ]
"abcda", 5, [ 'b' 'c' 'd' ]
"abracaabra", 4, [ 'c' ]
"ccbab", 3, [ 'a' ]
"cabcab", 4, []
"cabababccccababababcccc", 11, []
"ababababccccababr", 8, [ 'r' ]
"cabababdcdcababababdcdc", 11, []
"cdcababr", 5, [ 'd' 'r' ]
"cbdcdcababdcdc", 4, []
"cabababababc", 10, []
"cabababababababc", 16, []
"cababababc", 5, []
"cababc", 5, []
"cabc", 4, [ 'a' 'b' ]
"caab", 3, [ 'c' 'b' ]
"cdcbaabcdcbaab", 4, []
"cbcdbdcbcabd", 12, [ 'a' ]
"asbananasbanan", 11, []
"abcdcabcdc", 6, []
"ayabbya", 7, []
"baac", 4, [ 'b' 'c' ]
"abracadabra", 11, [ 'c' 'd' ]
"abracadabrabracadabra", 7, []
"abcdcbabcdcba", 12, []
"aayabby", 7, []
"cdebcdeaab", 7, []
"bcdcdeaeba", 6, []
"cdbcdeeaba", 5, []
"cdebcadbea", 5, []
"bcdecdeaab", 10, []
"cbcddeaeba", 8, []
"cdbcedeaba", 7, []
"bcdceadeab", 8, []
"bccdeadeab", 5, []
