"AABBBCDDD", "ABCD"
"001112333", "0123"
"", ""
"ABBCDAFEEGH", "ABCDAFEGH"
"AAAAAA", "A"
"ABCBDBDBBDCDABD", "ABCBDBDBDCDABD"
"BCCDDEEAAB", "BCDEAB"
"BCCDDABA", "BCDABA"
"EDEAABBCCD", "EDEABCD"
"DEEABCDABC", "DEABCDABC"
"ABBCDECDAE", "ABCDECDAE"
"BABCCDEDEA", "BABCDEDEA"
"BABAACDE", "BABACDE"
"BACBCDDEEA", "BACBCDEA"
"ABCBAADE", "ABCBADE"
"DAABCBDC", "DABCBDC"
"EDEAABBCDC", "EDEABCDC"
"ABCDBEAA", "ABCDBEA"
"XYBBXYBB", "XYBXYB"
"CBDCDEEAAB", "CBDCDEAB"
"XBXBBYB", "XBXBYB"
"AABCDCBAABCDCB", "ABCDCBABCDCB"
"BCDCBAABCDCBAA", "BCDCBABCDCBA"
"TOMMARVOLORIDDLE", "TOMARVOLORIDLE"
"ABDCBCDBDCBBC", "ABDCBCDBDCBC"
"ACBAA", "ACBA"
"ABRACAABRA", "ABRACABRA"
"CCBAB", "CBAB"
"CABABABCCCCABABABABCCCC", "CABABABCABABABABC"
"ABABABABCCCCABABR", "ABABABABCABABR"
"CAAB", "CAB"
"AYABBYA", "AYABYA"
"BAAC", "BAC"
"AAYABBY", "AYABY"
"CDEBCDEAAB", "CDEBCDEAB"
"BCDECDEAAB", "BCDECDEAB"
"CBCDDEAEBA", "CBCDEAEBA"
"BCCDEDAEBA", "BCDEDAEBA"
"BCCDDEAEBA", "BCDEAEBA"
"BCDCDEEABA", "BCDCDEABA"
"BCCDADBA", "BCDADBA"
"DEAEABBCCD", "DEAEABCD"
"DEEAABCBCD", "DEABCBCD"
"BABCDCDEEA", "BABCDCDEA"
"ABBCDCDEAE", "ABCDCDEAE"
"ABCBCDDEEA", "ABCBCDEA"
"ABBCDECADE", "ABCDECADE"
"ABBCDECDEA", "ABCDECDEA"
"ABBYAY", "ABYAY"
"ABBAYY", "ABAY"
"ABBYYA", "ABYA"
"YAABBYY", "YABY"
"ABYYBAYBA", "ABYBAYBA"
"AABYYB", "ABYB"
"AYAYBB", "AYAYB"
"YBAYABBAY", "YBAYABAY"
"ABBYBBA", "ABYBA"
"ABRACADABRAABRACADABRA", "ABRACADABRABRACADABRA"
"WILLIAMSHAKESPEARE", "WILIAMSHAKESPEARE"
"BCCBAABCCBAA", "BCBABCBA"
"CCBAABCCBAAB", "CBABCBAB"
"CBAABC", "CBABC"
"BCDCBAA", "BCDCBA"
"BAABCDC", "BABCDC"
"BCCBAA", "BCBA"
"ABDCBCDBDCBBCABDCBCDBDCBBC", "ABDCBCDBDCBCABDCBCDBDCBC"
"CDCBAABCDCBAAB", "CDCBABCDCBAB"
"DCBAABCDCBAABC", "DCBABCDCBABC"
"CBAABCDCBAABCD", "CBABCDCBABCD"
"BAABCDCBAABCDC", "BABCDCBABCDC"
"BAABCCBAABCC", "BABCBABC"
"CDCBAAB", "CDCBAB"
"AABCDCB", "ABCDCB"
"ABCCBA", "ABCBA"
"CBAABCD", "CBABCD"
"BCCDEABDEA", "BCDEABDEA"
"CBDCDEEABA", "CBDCDEABA"
"BCCDDEAEAB", "BCDEAEAB"
"BCCDEADEAB", "BCDEADEAB"
"CBDCDAAB", "CBDCDAB"
"ADABBCDC", "ADABCDC"
"ABCDDABC", "ABCDABC"
"EDEABABCCD", "EDEABABCD"
"DEEABABCCD", "DEABABCD"
"ABBCCDEADE", "ABCDEADE"
"ABBCDCEDEA", "ABCDCEDEA"
"ABCBDCDEEA", "ABCBDCDEA"
"BABCCDEDAE", "BABCDEDAE"
"BCADBCDEEA", "BCADBCDEA"
"ABCBDAAE", "ABCBDAE"
"BABCDEAA", "BABCDEA"
"ABBCADEA", "ABCADEA"
"XYYYBXB", "XYBXB"
"YYXYBXB", "YXYBXB"
"YXYYBXB", "YXYBXB"
"XBYYXBY", "XBYXBY"
"XYBXBBYB", "XYBXBYB"
"BCCDEDABEA", "BCDEDABEA"
"BCCDDEEABA", "BCDEABA"
"CBCDDEEABA", "CBCDEABA"
"BCCDDAAB", "BCDAB"
